number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_lambda,params_subsample,state
0,0.8795344567844264,2026-09-08 20:20:47.163011,2026-09-08 20:21:14.144941,0 days 00:00:26.981930,0.6624074561769746,0.023688639503640783,7,91,0.029375384576328288,0.8394633936788146,COMPLETE
1,0.873418155715745,2026-09-08 20:21:14.146169,2026-09-08 20:21:42.860023,0 days 00:00:28.713854,0.608233797718321,0.011430983876313222,7,76,8.123245085588687,0.8832290311184181,COMPLETE
2,0.8988592885717294,2026-09-08 20:21:42.862835,2026-09-08 20:22:06.982244,0 days 00:00:24.119409,0.7216968971838151,0.06798962421591129,4,30,0.3752055855124282,0.6733618039413735,COMPLETE
3,0.86973905352842,2026-09-08 20:22:06.983609,2026-09-08 20:22:30.989593,0 days 00:00:24.005984,0.7168578594140873,0.027036160666620016,4,77,0.1256277350380703,0.6557975442608167,COMPLETE
4,0.9036027509132818,2026-09-08 20:22:30.991098,2026-09-08 20:22:57.674874,0 days 00:00:26.683776,0.836965827544817,0.028580510658069373,6,32,0.013783237455007183,0.8056937753654446,COMPLETE
5,0.8884806346825835,2026-09-08 20:22:57.676441,2026-09-08 20:23:15.550037,0 days 00:00:17.873596,0.9862528132298237,0.04050837781329675,3,17,2.6619018884890564,0.9795542149013333,COMPLETE
6,0.8521703214978359,2026-09-08 20:23:15.551515,2026-09-08 20:23:38.608765,0 days 00:00:23.057250,0.6488152939379115,0.020165721691808594,3,85,0.3058656666978526,0.7760609974958406,COMPLETE
7,0.8929839699630746,2026-09-08 20:23:38.610035,2026-09-08 20:24:06.669660,0 days 00:00:28.059625,0.7246844304357644,0.01082401838150096,7,38,0.3632486956676606,0.8650089137415928,COMPLETE
8,0.86018669037082,2026-09-08 20:24:06.671392,2026-09-08 20:24:25.280856,0 days 00:00:18.609464,0.9757995766256756,0.03521358805467869,3,117,4.83595277646595,0.9100531293444458,COMPLETE
9,0.9122028522303223,2026-09-08 20:24:25.282910,2026-09-08 20:24:56.758320,0 days 00:00:31.475410,0.6180909155642152,0.03961867790406585,7,19,0.09462175356461491,0.6783931449676581,COMPLETE
